Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
62	-3.1283228	182.6419	412.75235	-332.3453	-575.6156	653.7924	432.93454	-1522.8732	334.30768	666.2	247999	116.71145	50.941715	388.9301	-153.40114	-118.645615	23.210707	3939.589227437973
63	-19.545744	75.9384	97.52129	-146.14613	311.68475	278.74533	651.0191	-60.14897	377.22223	665.1	251999	113.58702	47.670757	369.26694	-136.7966	-115.44826	21.784332	4009.0627253055573
64	-51.279476	199.55049	206.4109	-618.6092	185.764	370.0935	656.6461	-356.2467	343.0	721.6	255999	110.7858	45.61888	404.24756	-105.18703	-112.61038	21.27841	4080.331006526947
65	-53.3594	440.03616	454.321	-886.9923	-151.56253	407.40976	522.8308	-1115.565	576.6667	546.8	259999	108.72044	43.63271	370.42523	-150.12434	-110.56317	23.159822	4148.127838611603
66	-194.29845	520.01843	452.43604	-1174.6836	-274.41504	667.69904	403.66568	-2096.7239	755.8333	761.2	263999	107.25669	42.125282	359.3036	-136.2677	-109.05672	21.133457	4219.461894989014
67	-64.103004	340.27887	507.29938	-552.3832	91.73757	164.03433	413.95282	-83.11993	668.4	420.4	267999	105.60459	39.67129	276.68182	-167.41736	-107.338234	17.90491	4286.842566728592
68	-157.57016	464.21518	367.14636	-1242.4507	26.049871	83.38502	268.31476	-49.705757	592.0	204.1	271999	103.55859	37.050922	301.10178	-103.46935	-105.25073	16.95376	4350.274235725403
69	90.38699	204.88432	420.4182	-111.61831	163.48099	272.73016	597.84436	-346.83643	536.8333	707.0	275999	101.24783	34.978416	254.66457	-109.38082	-102.9185	15.28955	4420.053393602371
70	0.21149293	180.6931	209.90335	-250.55858	18.720596	283.62955	506.8618	-389.90762	836.8	554.9	279999	99.32331	32.92788	269.97104	-85.218155	-100.94197	14.0154	4488.603309392929
71	133.57445	138.74504	454.87726	9.74916	221.33658	259.1183	735.79626	-11.185721	417.0	449.4	283999	97.68886	30.576788	286.43338	-79.32292	-99.314705	13.403635	4555.992187976837
72	207.72636	217.0817	536.8211	-54.057735	76.62443	441.00092	654.4314	-795.44104	804.0	958.8	287999	95.87843	27.857626	238.01947	-161.09242	-97.447495	12.537135	4629.910879135132
73	158.24173	218.8179	424.9608	-73.150536	224.4069	181.65941	464.84198	-61.24799	704.2	711.0	291999	94.03549	25.057613	215.81456	-118.84006	-95.5471	11.1551	4700.097184419632
74	169.12233	302.9581	578.0067	-348.51105	137.38638	362.22675	630.53125	-757.107	817.1667	563.4	295999	92.28985	22.179323	221.10258	-105.7117	-93.78561	9.990981	4768.868912935257
75	355.8105	274.36005	638.5038	-88.636444	317.66278	213.06375	630.02094	42.57386	839.75	706.4	299999	90.90601	19.751326	207.64284	-90.40303	-92.38475	9.620045	4839.298406839371
76	335.68622	204.87224	615.11206	28.00549	313.8967	355.4494	724.1391	-332.68967	788.2	911.9	303999	89.74875	17.516794	197.12776	-86.190186	-91.20603	8.662732	4912.771218538284
77	325.7868	228.95352	645.8432	71.5897	595.472	183.27815	723.7966	78.52724	608.2857	912.5	307999	88.87837	15.688759	206.84216	-88.79586	-90.3027	7.9606104	4987.305298805237
78	300.45157	192.83974	556.06396	10.912746	336.34396	341.3182	773.3756	-509.47394	576.7143	770.3	311999	88.24468	14.613494	211.88591	-97.76447	-89.679	7.941612	5058.7550892829895
79	330.1291	188.8745	621.41925	43.101185	340.977	164.31026	736.939	140.56982	727.6667	850.5	315999	87.7368	13.362988	195.59335	-95.41932	-89.14861	7.2557592	5131.864657402039
80	270.3869	195.93956	570.61334	19.357166	407.79498	177.81126	707.0568	49.15912	627.4	925.1	319999	87.4366	12.354055	177.07297	-69.06307	-88.84525	6.7304935	5206.80123090744
81	493.42148	234.08719	727.188	7.2291107	431.43555	226.38948	738.4204	93.491264	817.1667	725.3	323999	87.45205	11.601955	174.8004	-68.96576	-88.85915	6.463533	5279.656353712082
82	409.76318	244.13222	710.208	13.032683	526.4345	134.74588	769.4525	310.24423	709.4	953.4	327999	87.47635	11.12082	158.81992	-64.05534	-88.85244	6.3886147	5354.938161849976
83	416.5267	258.86868	710.8272	21.917	594.83325	211.41463	870.3415	219.85205	643.1667	833.5	331999	87.55478	10.880053	182.1528	-60.662376	-88.92545	5.981639	5429.436192989349
84	528.24426	231.50085	704.2707	79.03575	340.14102	209.87845	755.7694	48.444946	830.6	729.2	335999	88.08253	10.830002	201.36903	-70.31557	-89.475044	6.1183653	5501.339174032211
85	400.13974	276.20325	788.4292	13.050926	670.9223	133.35365	874.03094	370.189	607.3333	1000.0	339999	89.03275	10.735788	207.1446	-78.11975	-90.440895	5.9267354	5578.572689533234
86	387.6201	275.32007	782.21545	27.194956	613.68134	278.29462	890.0409	15.981244	566.8571	817.3	343999	90.18003	11.085697	210.73898	-77.47941	-91.60723	6.385222	5652.931954622269
87	461.6357	228.09035	684.25116	94.10572	329.4817	303.668	801.12036	-7.8326755	734.6667	498.6	347999	91.77358	11.713353	258.05008	-80.20207	-93.22102	6.78497	5723.179135084152
88	499.77206	201.94608	710.38226	136.71321	413.67978	252.45633	670.46643	63.02874	842.8	656.4	351999	93.84512	12.646291	257.42194	-57.86544	-95.3377	7.2886066	5796.5340621471405
89	455.23285	191.67108	683.1355	157.84055	362.4139	293.218	726.06055	6.88313	836.6	556.9	355999	95.3839	13.732962	234.98479	-81.40175	-96.823044	7.158499	5868.509730100632
90	329.0045	352.62613	885.62714	-3.1252742	436.0734	335.843	864.02136	-4.8160815	460.42856	563.5	359999	96.03937	14.2703905	234.07495	-120.854515	-97.46201	6.8810697	5940.723723649979
91	517.5651	301.5007	792.17523	76.5194	454.70825	298.41736	843.03284	48.5566	703.0	598.7	363999	96.74161	14.735732	227.56238	-91.374954	-98.18611	7.118374	6014.030943393707
92	477.91293	319.266	760.1641	4.2596946	508.59018	394.49658	1085.333	2.029795	681.1667	529.3	367999	97.42599	15.133866	190.20447	-77.00584	-98.85349	7.301261	6086.444185733795
93	679.4708	177.3979	809.899	328.5305	453.4169	376.89435	870.37744	39.74002	905.2	545.2	371999	97.66919	15.036341	175.61922	-59.931343	-99.05151	6.2178693	6158.226412534714
94	498.60126	297.58807	757.58484	5.339787	361.85583	255.5375	747.7437	33.97067	686.6	678.8	375999	98.24848	14.989878	176.80484	-82.202805	-99.67237	6.641237	6233.198212385178
